Country	Country Registered	Reference	Refrence Formatted	Firm	Application Nr	Filing Date	Publication Nr	Grant Date	Grant Nr	Expiry date	Non-assert	Title
JP	JP	94003G2	94003G2	LGE	1994-077270	15/04/1994	1995-023326 A		3108274	15/04/2014		Trick play control_VOBU_SRI of DSI
DE-EP	EP	94003GEP04D1	94003GEP04D1	LGE	2026514.6	27/11/2002	1298924-A2			13/04/2014		Trick play control_VOBU_SRI of DSI
EP	EP	94003GEP04D1	94003GEP04D1	LGE	2026514.6	27/11/2002	1298924-A2			13/04/2014		Trick play control_VOBU_SRI of DSI
FR-EP	EP	94003GEP04D1	94003GEP04D1	LGE	2026514.6	27/11/2002	1298924-A2			13/04/2014		Trick play control_VOBU_SRI of DSI
GB-EP	EP	94003GEP04D1	94003GEP04D1	LGE	2026514.6	27/11/2002	1298924-A2			13/04/2014		Trick play control_VOBU_SRI of DSI
NL-EP	EP	94003GEP04D1	94003GEP04D1	LGE	2026514.6	27/11/2002	1298924-A2			13/04/2014		Trick play control_VOBU_SRI of DSI
JP	JP	94170G2D1	94170G2D1	LGE	2005-299029	13/10/2005	2006-139267 A			19/09/2014		Multi audio stream
CN	CN	94170G3	94170G3	LGE	941177327.5	17/09/1994	1115480 A		1040705	17/09/2014		Karaoke disk playback
US	US	94170GUS08D2RSD1	94170GUS08D2RSD1	LGE	11/058,630	16/02/2005				16/09/2014		Multi audio stream
JP	JP	95FIMC059G2	95FIMC059G2	LGE	1995-318398	08/12/1995	1996-237596 A		3105777	08/12/2015		Scrambling/Descrambling, Copy prevention_CGMS_CPR_MAI
CN	CN	95FIMC059G4	95FIMC059G4	LGE	95121501.9	08/12/1995	1131796 A		1074888	08/12/2015		Scrambling/Descrambling, Copy prevention_CGMS_CPR_MAI
US	US	96FIML049G1	96FIML049G1	LGE	08/673,509	28/06/1996			5737287	28/06/2016		Multi Layer Disc_Classification, ID and Recording density
JP	JP	96FIML049G2D	96FIML049G2D	LGE	1998-096447	08/04/1998	1998-326449 A		3751748	27/06/2016		Multi Layer Disc_Classification, ID and Recording density
JP	JP	96FIML049GJP03D1	96FIML049GJP03D1	LGE	2001-256513	08/12/1995	2002-123937 A		4056718	27/06/2016		Dual layer disk _Classification, ID, & Recording density
JP	JP	96FIML049GJP04D1D1	96FIML049GJP04D1D1	LGE	2004-045504	20/02/2004	2004-213882 A			27/06/2016		Dual layer disk _Classification, ID, & Recording density
US	US	98FDVD021G1	98FDVD021G1	LGE	09/118,824	20/07/1998			RE38868	13/04/2014		Trick play control_VOBU_SRI of DSI
US	US	98FDVD021GUS02C1	98FDVD021GUS02C1	LGE	10/883,196	01/07/2004				13/04/2014		Trick play control_VOBU_SRI of DSI
US	US	98FDVD021GUS02C1C1	98FDVD021GUS02C1C1	LGE	11/344,605	01/02/2006				13/04/2014		Trick play control_VOBU_SRI of DSI
US	US	98FDVD022G1	98FDVD022G1	LGE	09/094,575	12/06/1998			RE37052	01/12/2015		Copy prevention_CGMS_CPR_MAI
US	US	98FDVD022G1C	98FDVD022G1C	LGE	09/592,148	12/06/2000				01/12/2015		Copy prevention_CP_SEC in CPR_MAI
US	US	98FDVD022G1D	98FDVD022G1D	LGE	09/097,162	12/06/1998			RE36919	01/12/2015		Scrambling/Descrambling
KR	KR	IML95-069	IML95-069	LGE	1995-018284	29/06/1995	1997-0003054 A1			29/06/2015		Multi Layer Disc_Classification, ID and Recording density
KR	KR	IMS94-189	IMS94-189	LGE	1994-0033336	08/12/1994	1996-0025595 A		0136458 B1	08/12/2014		Scrambling/Descrambling, Copy prevention_CGMS_CPR_MAI
KR	KR	P93-006441	P93-006441	LGE	1993-0006441	16/04/1993	1994-0024732 A		0117716 B1	16/04/2013		Trick play control_VOBU_SRI of DSI
KR	KR	P93-18841	P93-18841	LGE	1993-0018841	17/09/1993	1995-0009563 A		0105853 B1	17/09/2013		Karaoke disk playback
AT	EP	IRT-1	IRT-1	Other	WO 91-01211	27/06/1991	WO 92.13396	18/01/1995	117.476	27/06/2011		Subband coded audio signals using scale factors
DE	EP	IRT-1	IRT-1	Other	WO 91-01211	27/06/1991	EP 0.568.532	18/01/1995	59.104.347	27/06/2011		Subband coded audio signals using scale factors
DE	EP	IRT-1	IRT-1	Other	WO 91-01211	27/06/1991	WO 92.13396	17/06/1992	4.102.324	27/06/2011		Subband coded audio signals using scale factors
DK	EP	IRT-1	IRT-1	Other	WO 91-01211	27/06/1991	EP 0.568.532	18/01/1995	0.568.532	27/06/2011		Subband coded audio signals using scale factors
ES	EP	IRT-1	IRT-1	Other	WO 91-01211	27/06/1991	EP 0.568.532	18/01/1995	2.067.237	27/06/2011		Subband coded audio signals using scale factors
FI	EP	IRT-1	IRT-1	Other	WO 91-01211	27/06/1991	FI 933324	30/06/2000	105.248	27/06/2011		Subband coded audio signals using scale factors
FR	EP	IRT-1	IRT-1	Other	WO 91-01211	27/06/1991	WO 92.13396	18/01/1995	0.568.532	27/06/2011		Subband coded audio signals using scale factors
GB	EP	IRT-1	IRT-1	Other	WO 91-01211	27/06/1991	WO 92.13396	18/01/1995	0.568.532	27/06/2011		Subband coded audio signals using scale factors
IT	EP	IRT-1	IRT-1	Other	WO 91-01211	27/06/1991	WO 92.13396	18/01/1995	0.568.532	27/06/2011		Subband coded audio signals using scale factors
JP	JP	IRT-1	IRT-1	Other	WO 91-01211	27/06/1991	JP 7.503.342	09/04/1997	2.599.660	27/06/2011		Subband coded audio signals using scale factors
KR	KR	IRT-1	IRT-1	Other	WO 91-01211	27/06/1991	WO 92.13396	12/09/1996	9.612.085	27/06/2011		Subband coded audio signals using scale factors
NL	EP	IRT-1	IRT-1	Other	WO 91-01211	27/06/1991	WO 92.13396	18/01/1995	0.568.532	27/06/2011		Subband coded audio signals using scale factors
SE	EP	IRT-1	IRT-1	Other	WO 91-01211	27/06/1991	WO 92.13396	18/01/1995	0.568.532	27/06/2011		Subband coded audio signals using scale factors
AT	EP	IRT-2	IRT-2	Other	WO 92-01658	21/07/1992	WO 93.02508	14/12/1994	115.793	21/07/2012		Digitized, blockcoded audio signals
AU	AU	IRT-2	IRT-2	Other	WO 92-01658	21/07/1992	WO 93.02508	25/08/1994	652.476	21/07/2012		Digitized, blockcoded audio signals
DE	EP	IRT-2	IRT-2	Other	WO 92-01658	21/07/1992	EP 0.595.944	14/12/1994	59.200.994	21/07/2012		Digitized, blockcoded audio signals
DK	EP	IRT-2	IRT-2	Other	WO 92-01658	21/07/1992	EP 0.595.944	14/12/1994	0.595.944	21/07/2012		Digitized, blockcoded audio signals
ES	EP	IRT-2	IRT-2	Other	WO 92-01658	21/07/1992	WO 93.02508	14/12/1994	2.067.336	21/07/2012		Digitized, blockcoded audio signals
FR	EP	IRT-2	IRT-2	Other	WO 92-01658	21/07/1992	WO 93.02508	14/12/1994	0.595.944	21/07/2012		Digitized, blockcoded audio signals
GB	EP	IRT-2	IRT-2	Other	WO 92-01658	21/07/1992	WO 93.02508	14/12/1994	0.595.944	21/07/2012		Digitized, blockcoded audio signals
IT	EP	IRT-2	IRT-2	Other	WO 92-01658	21/07/1992	WO 93.02508	14/12/1994	0.595.944	21/07/2012		Digitized, blockcoded audio signals
JP	JP	IRT-2	IRT-2	Other	WO 92-01658	21/07/1992	JP 6504893	09/04/1997	2.599.688	21/07/2012		Digitized, blockcoded audio signals
KR	KR	IRT-2	IRT-2	Other	WO 92-01658	21/07/1992	WO 93.02508	01/02/2000	242.893	21/07/2012		Digitized, blockcoded audio signals
NL	EP	IRT-2	IRT-2	Other	WO 92-01658	21/07/1992	WO 93.02508	14/12/1994	0.595.944	21/07/2012		Digitized, blockcoded audio signals
SE	EP	IRT-2	IRT-2	Other	WO 92-01658	21/07/1992	WO 93.02508	14/12/1994	0.595.944	21/07/2012		Digitized, blockcoded audio signals
DE	EP	IRT-4	IRT-4	Other	DE 42.29.372	03/09/1992	42.29.372	03/07/1997	42.29.372	03/09/2012		Bitrate allocation/bitrate reduced coding
AR	AR	B 033973AR	B 033973	Philips	P960101256	02/02/1996		18/12/2003	AR001077	02/02/2016		Subtitle runlength compression
AT	EP	B 033973AT	B 033973	Philips	96900402.7	26/01/1996	0754393-A1	05/04/2000	E191600	26/01/2016		Subtitle runlength compression
AU	AU	B 033973AU	B 033973	Philips	96-43985	26/01/1996	96-43985	03/12/1998	695626	26/01/2016		Subtitle runlength compression
BE	EP	B 033973BE	B 033973	Philips	96900402.7	26/01/1996	0754393-A1	05/04/2000	0754393	26/01/2016		Subtitle runlength compression
BR	BR	B 033973BR	B 033973	Philips	PI9605110.8	26/01/1996	PI9605110.8	06/08/2002	PI9605110.8	26/01/2016		Subtitle runlength compression
CA	CA	B 033973CA	B 033973	Philips	2187018	26/01/1996	2187018	18/10/2005	2187018	26/01/2016		Subtitle runlength compression
CN	CN	B 033973CN	B 033973	Philips	96190224.8	26/01/1996	1148927-A	22/12/2004	96190224.8	26/01/2016		Subtitle runlength compression
CZ	EP	B 033973CZ	B 033973	Philips	96-PV2885	26/01/1996		10/12/2001	289508	26/01/2016		Subtitle runlength compression
DE	EP	B 033973DE	B 033973	Philips	96900402.7	26/01/1996	0754393-A1	05/04/2000	69607529.6	26/01/2016		Subtitle runlength compression
ES	EP	B 033973ES	B 033973	Philips	96900402.7	26/01/1996	0754393-A1	05/04/2000	2145991	26/01/2016		Subtitle runlength compression
FR	EP	B 033973FR	B 033973	Philips	96900402.7	26/01/1996	0754393-A1	05/04/2000	0754393	26/01/2016		Subtitle runlength compression
GB	EP	B 033973GB	B 033973	Philips	96900402.7	26/01/1996	0754393-A1	05/04/2000	0754393	26/01/2016		Subtitle runlength compression
GR	EP	B 033973GR	B 033973	Philips	96900402.7	26/01/1996	0754393-A1	05/04/2000	0754393	26/01/2016		Subtitle runlength compression
HK	HK	B 033973HK	B 033973	Philips	98114635.5	26/01/1996	1013385-A	24/11/2000	HK1013385	26/01/2016		Subtitle runlength compression
HU	EP	B 033973HU	B 033973	Philips	P9602710	26/01/1996				26/01/2016		Subtitle runlength compression
ID	ID	B 033973ID	B 033973	Philips	P-960281	05/02/1996		25/07/2001	ID0006497	05/02/2016		Subtitle runlength compression
IL	IL	B 033973IL	B 033973	Philips	117028	04/02/1996		28/10/1999	117028	04/02/2016		Subtitle runlength compression
IN	IN	B 033973IN	B 033973	Philips	159/CAL/96	31/01/1996		04/10/2002	187262	31/01/2016		Subtitle runlength compression
IT	EP	B 033973IT	B 033973	Philips	96900402.7	26/01/1996	0754393-A1	05/04/2000	0754393	26/01/2016		Subtitle runlength compression
JP	JP	B 033973JP	B 033973	Philips	96-524103	26/01/1996	98-500273	17/06/2005	3688297	26/01/2016		Subtitle runlength compression
KR	KR	B 033973KR	B 033973	Philips	10-1996-0705635	26/01/1996	97-0702672	24/10/2003	404526	26/01/2016		Subtitle runlength compression
MY	MY	B 033973MY	B 033973	Philips	PI9600392	02/02/1996		30/09/2003	115792	30/09/2018		Subtitle runlength compression
PL	EP	B 033973PL	B 033973	Philips	P316679	26/01/1996		02/06/2003	186340	26/01/2016		Subtitle runlength compression
PT	EP	B 033973PT	B 033973	Philips	96900402.7	26/01/1996	0754393-A1	05/04/2000	0754393	26/01/2016		Subtitle runlength compression
RU	RU	B 033973RU	B 033973	Philips	9700011	26/01/1996		25/06/1998	EA000082	26/01/2016		Subtitle runlength compression
SE	EP	B 033973SE	B 033973	Philips	96900402.7	26/01/1996	0754393-A1	05/04/2000	0754393	26/01/2016		Subtitle runlength compression
SG	SG	B 033973SG	B 033973	Philips	9611564.7	26/01/1996		25/05/1999	34670	26/01/2016		Subtitle runlength compression
TR	EP	B 033973TR	B 033973	Philips	96-00787	26/01/1996		21/05/2002	TR1996/00787	26/01/2016		Subtitle runlength compression
US	US	B 033973US	B 033973	Philips	08/593963	30/01/1996		09/10/2001	6301389	30/01/2016		Subtitle runlength compression
ZA	ZA	B 033973ZA	B 033973	Philips	96-0754	31/01/1996		26/11/1997	96-0754	31/01/2016		Subtitle runlength compression
AR	AR	N 013241	N 013241	Philips	317015         	04/06/1990		11/10/1996	250211	11/10/2011		Universal subband coder format
US	US	N 013241 A	N 013241	Philips	07/997158      	21/12/1992		21/06/1994	5323396	24/06/2011		Universal subband coder format
US	US	N 013241 E	N 013241	Philips	08/488318      	07/06/1995		23/07/1996	5539829	23/07/2013		Universal subband coder format
US	US	N 013241 G	N 013241	Philips	08/483009      	06/06/1995		25/06/1996	5530655	25/06/2013		Universal subband coder format
US	US	N 013241 I	N 013241	Philips	09/908932      	19/07/2001	2001-0044713-A1	10/02/2004	6691086	05/06/2011		Universal subband coder format
US	US	N 013241 K	N 013241	Philips	11/007377	08/12/2004	2006-0206341-A1	21/07/2009	7565298  	30/03/2011		Universal subband coder format
US	US	N 013409USB	N 013409	Philips	08/563799	28/11/1995		28/04/1998	5745641	28/04/2015		Video block pointers
US	US	N 013547USV	N 013547	Philips	08/299861	01/09/1994		14/10/1997	5677903	14/10/2014		System for Multilayer optical disc
US	US	N 013547USX	N 013547	Philips	08/861350	21/05/1997		25/03/2003	6538978	18/04/2012		System for Multilayer optical disc
AT	EP	N 014351AT	N 014351	Philips	93203684.1	24/12/1993	0605924-A3	23/06/1999	E181614	24/12/2013		Interlayer crosstalk for Multilayer
CN	CN	N 014351CN	N 014351	Philips	93121735	31/12/1993	1090668-A	14/01/2004	93121735	31/12/2013		Interlayer crosstalk for Multilayer
DE	EP	N 014351DE	N 014351	Philips	93203684.1	24/12/1993	0605924-A3	23/06/1999	69325437.8	24/12/2013		Interlayer crosstalk for Multilayer
FR	EP	N 014351FR	N 014351	Philips	93203684.1	24/12/1993	0605924-A3	23/06/1999	0605924	24/12/2013		Interlayer crosstalk for Multilayer
GB	EP	N 014351GB	N 014351	Philips	93203684.1	24/12/1993	0605924-A3	23/06/1999	0605924	24/12/2013		Interlayer crosstalk for Multilayer
HK	HK	N 014351HK	N 014351	Philips	98114078.9	24/12/1993	1012766-A	19/01/2001	HK1012766	24/12/2013		Interlayer crosstalk for Multilayer
IT	EP	N 014351IT	N 014351	Philips	93203684.1	24/12/1993	0605924-A3	23/06/1999	0605924	24/12/2013		Interlayer crosstalk for Multilayer
JP	JP	N 014351JP	N 014351	Philips	93-350276	28/12/1993	94-267110			28/12/2013		Interlayer crosstalk for Multilayer
KR	KR	N 014351KR	N 014351	Philips	94-144	04/01/1994		14/02/2001	289018	04/01/2014		Interlayer crosstalk for Multilayer
SE	EP	N 014351SE	N 014351	Philips	93203684.1	24/12/1993	0605924-A3	23/06/1999	0605924	24/12/2013		Interlayer crosstalk for Multilayer
SG	SG	N 014351SG	N 014351	Philips	9607095.8	24/12/1993	48111	28/12/2001	48111	24/12/2013		Interlayer crosstalk for Multilayer
TW	TW	N 014351TW	N 014351	Philips	83101489	22/02/1994		31/12/1994	67573	21/02/2014		Interlayer crosstalk for Multilayer
US	US	N 014351US	N 014351	Philips	08/175331	29/12/1993		23/04/1996	5511057	29/12/2013		Interlayer crosstalk for Multilayer
US	US	N 014351USW	N 014351	Philips	08/791097	23/01/1997		26/01/1999	5864530	29/12/2013		Interlayer crosstalk for Multilayer
US	US	N 014351USY	N 014351	Philips	09/442959	18/11/1999		19/04/2011	7929394	29/12/2013		Interlayer crosstalk for Multilayer
DE	EP	N 014361	N 014361	Philips	94200087.8     	14/01/1994	0608930-A1     	14/06/2000	69424888.6	14/01/2014		Three channel transmission of L, R and C
ES	EP	N 014361	N 014361	Philips	94200087.8     	14/01/1994	0608930-A1     	14/06/2000	0608930	14/01/2014		Three channel transmission of L, R and C
FR	EP	N 014361	N 014361	Philips	94200087.8     	14/01/1994	0608930-A1     	14/06/2000	0608930	14/01/2014		Three channel transmission of L, R and C
GB	EP	N 014361	N 014361	Philips	94200087.8     	14/01/1994	0608930-A1     	14/06/2000	0608930	14/01/2014		Three channel transmission of L, R and C
IT	EP	N 014361	N 014361	Philips	94200087.8     	14/01/1994	0608930-A1     	14/06/2000	0608930	14/01/2014		Three channel transmission of L, R and C
JP	JP	N 014361	N 014361	Philips	94-022092      	21/01/1994	94-318922      	03/09/2004	3592356	21/01/2014		Three channel transmission of L, R and C
KR	KR	N 014361	N 014361	Philips	10-1994-0001097	21/01/1994		22/03/2002	331368	21/01/2014		Three channel transmission of L, R and C
SE	EP	N 014361	N 014361	Philips	94200087.8     	14/01/1994	0608930-A1     	14/06/2000	0608930	14/01/2014		Three channel transmission of L, R and C
US	US	N 014361	N 014361	Philips	08/184323      	21/01/1994		11/03/1997	5610985	21/01/2014		Three channel transmission of L, R and C
DE	EP	N 014615	N 014615	Philips	94928505.0     	18/10/1994	0678226-A1     	14/05/2003	69432663.1	18/10/2014		SB splitting prior to multiplexing L, R, C
FR	EP	N 014615	N 014615	Philips	94928505.0     	18/10/1994	0678226-A1     	14/05/2003	0678226	18/10/2014		SB splitting prior to multiplexing L, R, C
GB	EP	N 014615	N 014615	Philips	94928505.0     	18/10/1994	0678226-A1     	14/05/2003	0678226	18/10/2014		SB splitting prior to multiplexing L, R, C
JP	JP	N 014615	N 014615	Philips	95-512501      	18/10/1994		03/08/2007	3993229	18/10/2014		SB splitting prior to multiplexing L, R, C
KR	KR	N 014615	N 014615	Philips	95-702727      	18/10/1994		04/01/2002	321015	18/10/2014		SB splitting prior to multiplexing L, R, C
SE	EP	N 014615	N 014615	Philips	94928505.0     	18/10/1994	0678226-A1     	14/05/2003	0678226	18/10/2014		SB splitting prior to multiplexing L, R, C
SG	SG	N 014615	N 014615	Philips	9609639.1      	18/10/1994	0044933        	20/02/2001	44933          	18/10/2014		SB splitting prior to multiplexing L, R, C
US	US	N 014615	N 014615	Philips	08/328999      	25/10/1994		06/08/1996	5544247	25/10/2014		SB splitting prior to multiplexing L, R, C
US	US	N 014615 A	N 014615	Philips	08/651016      	21/05/1996		06/10/1998	5818943	25/10/2014		SB splitting prior to multiplexing L, R, C
AR	AR	N 014746AR	N 014746	Philips	331023	15/02/1995		27/07/2000	254412	27/07/2015		EFM+ channel coding
AT	EP	N 014746AT	N 014746	Philips	95905746.4	01/02/1995	0745254-A1	04/11/1998	E173110	01/02/2015		EFM+ channel coding
AU	AU	N 014746AU	N 014746	Philips	95-14240	01/02/1995	95-14240	05/11/1998	692822	01/02/2015		EFM+ channel coding
BE	EP	N 014746BE	N 014746	Philips	95905746.4	01/02/1995	0745254-A1	04/11/1998	0745254	01/02/2015		EFM+ channel coding
BG	EP	N 014746BG	N 014746	Philips	100774	01/02/1995		21/07/1999	62106	01/02/2015		EFM+ channel coding
BR	BR	N 014746BR	N 014746	Philips	PI9506787.6	01/02/1995	PI9506787.6	07/08/2001	PI9506787.6	01/02/2015		EFM+ channel coding
BR	BR	N 014746BRA	N 014746	Philips	PI9510740.1	01/02/1995	PI9510740.1	10/03/2009	PI9510740-1	01/02/2015		EFM+ channel coding
BR	BR	N 014746BRB	N 014746	Philips	PI9510741.0	01/02/1995		27/04/2004	PI9510741.0	01/02/2015		EFM+ channel coding
BW	BW	N 014746BW	N 014746	Philips	98-00054	22/04/1998		01/12/1999	BW/P/99/00014	22/04/2018		EFM+ channel coding
CA	CA	N 014746CA	N 014746	Philips	2183355	01/02/1995		30/05/2006	2183355	01/02/2015		EFM+ channel coding
CA	CA	N 014746CAA	N 014746	Philips	2456968	01/02/1995		25/01/2005	2456968	01/02/2015		EFM+ channel coding
CH	EP	N 014746CH	N 014746	Philips	95905746.4	01/02/1995	0745254-A1	04/11/1998	0745254	01/02/2015		EFM+ channel coding
CN	CN	N 014746CN3	N 014746	Philips	200910117965	01/02/1995	101547009A			01/02/2015		EFM+ channel coding
CN	CN	N 014746CN4	N 014746	Philips	200910117964	01/02/1995	101546567-A			01/02/2015		EFM+ channel coding
CN	CN	N 014746CNA	N 014746	Philips	200310102653	01/02/1995	1722283-A	28/04/2010	200310102653.2	01/02/2015		EFM+ channel coding
CZ	EP	N 014746CZ	N 014746	Philips	96-PV2389	01/02/1995		01/08/2002	290751	01/02/2015		EFM+ channel coding
DE	EP	N 014746DE	N 014746	Philips	95905746.4	01/02/1995	0745254-A1	04/11/1998	69505794.4	01/02/2015		EFM+ channel coding
DK	EP	N 014746DK	N 014746	Philips	95905746.4	01/02/1995	0745254-A1	04/11/1998	0745254	01/02/2015		EFM+ channel coding
ES	EP	N 014746ES	N 014746	Philips	95905746.4	01/02/1995	0745254-A1	04/11/1998	2126877	01/02/2015		EFM+ channel coding
FI	EP	N 014746FI	N 014746	Philips	963151	01/02/1995		31/08/2006	117311	01/02/2015		EFM+ channel coding
FI	EP	N 014746FI2	N 014746	Philips	20060169	01/02/1995		31/12/2010	121558	01/02/2015		EFM+ channel coding
FI	EP	N 014746FI3	N 014746	Philips	20060170	01/02/1995		15/10/2010	121357	01/02/2015		EFM+ channel coding
FR	EP	N 014746FR	N 014746	Philips	95905746.4	01/02/1995	0745254-A1	04/11/1998	0745254	01/02/2015		EFM+ channel coding
GB	EP	N 014746GB	N 014746	Philips	95905746.4	01/02/1995	0745254-A1	04/11/1998	0745254	01/02/2015		EFM+ channel coding
GR	EP	N 014746GR	N 014746	Philips	95905746.4	01/02/1995	0745254-A1	04/11/1998	0745254	01/02/2015		EFM+ channel coding
HK	HK	N 014746HK	N 014746	Philips	98114079.8	01/02/1995	1012767-B1	31/03/2000	HK1012767	01/02/2015		EFM+ channel coding
HU	EP	N 014746HU	N 014746	Philips	P9602247	01/02/1995		16/05/2002	221085	01/02/2015		EFM+ channel coding
ID	ID	N 014746ID	N 014746	Philips	P-950245	15/02/1995		20/07/2000	ID0005313	15/02/2015		EFM+ channel coding
IE	EP	N 014746IE	N 014746	Philips	95905746.4	01/02/1995	0745254-A1	04/11/1998	0745254	01/02/2015		EFM+ channel coding
IN	IN	N 014746INC	N 014746	Philips	312/MAS/99	13/02/1995		31/03/2008	218255	13/02/2015		EFM+ channel coding
IT	EP	N 014746IT	N 014746	Philips	95905746.4	01/02/1995	0745254-A1	04/11/1998	0745254	01/02/2015		EFM+ channel coding
JP	JP	N 014746JP	N 014746	Philips	95-521693	01/02/1995	97-512392	14/03/2003	3408256	01/02/2015		EFM+ channel coding
JP	JP	N 014746JP3	N 014746	Philips	05-203695	01/02/1995	06-024356	15/12/2006	3892020	01/02/2015		EFM+ channel coding
KR	KR	N 014746KR	N 014746	Philips	96-704550	01/02/1995	10-1997-0701388	08/03/2005	0477168	01/02/2015		EFM+ channel coding
KR	KR	N 014746KRA	N 014746	Philips	10-2003-7004922	07/04/2003	10-2004-0004394	11/01/2005	0467125	01/02/2015		EFM+ channel coding
LU	EP	N 014746LU	N 014746	Philips	95905746.4	01/02/1995	0745254-A1	04/11/1998	0745254	01/02/2015		EFM+ channel coding
MC	EP	N 014746MC	N 014746	Philips	95905746.4	01/02/1995	0745254-A1	04/11/1998	0745254	01/02/2015		EFM+ channel coding
MX	MX	N 014746MX	N 014746	Philips	9603394	01/02/1995		28/07/1998	189493	01/02/2015		EFM+ channel coding
MY	MY	N 014746MY	N 014746	Philips	PI9500357	14/02/1995		30/04/2001	112136	30/04/2016		EFM+ channel coding
NL	EP	N 014746NL	N 014746	Philips	95905746.4	01/02/1995	0745254-A1	04/11/1998	0745254	01/02/2015		EFM+ channel coding
NO	EP	N 014746NO	N 014746	Philips	19963388	01/02/1995		18/12/2006	322948	01/02/2015		EFM+ channel coding
NO	EP	N 014746NOA	N 014746	Philips	20043831	01/02/1995				01/02/2015		EFM+ channel coding
NO	EP	N 014746NOB	N 014746	Philips	20043830	01/02/1995				01/02/2015		EFM+ channel coding
NZ	NZ	N 014746NZ	N 014746	Philips	278137	01/02/1995		23/06/1997	278137	01/02/2015		EFM+ channel coding
PL	EP	N 014746PL	N 014746	Philips	P319407	01/02/1995		04/03/2002	192729	01/02/2015		EFM+ channel coding
PL	EP	N 014746PL2	N 014746	Philips	P378756	01/02/1995				01/02/2015		EFM+ channel coding
PT	EP	N 014746PT	N 014746	Philips	95905746.4	01/02/1995	0745254-A1	04/11/1998	0745254	01/02/2015		EFM+ channel coding
RO	EP	N 014746RO	N 014746	Philips	96-001653	01/02/1995		30/03/2004	119099	01/02/2015		EFM+ channel coding
RO	EP	N 014746ROA	N 014746	Philips	01-00059	01/02/1995		30/04/2004	119260	01/02/2015		EFM+ channel coding
RU	RU	N 014746RU	N 014746	Philips	96118250	01/02/1995	33	27/07/2000	2153707	01/02/2015		EFM+ channel coding
SE	EP	N 014746SE	N 014746	Philips	95905746.4	01/02/1995	0745254-A1	04/11/1998	0745254	01/02/2015		EFM+ channel coding
SI	EP	N 014746SI	N 014746	Philips	95905746.4	01/02/1995	0745254-A1	04/11/1998	9530188	01/02/2015		EFM+ channel coding
SK	EP	N 014746SK	N 014746	Philips	96-PP1051	01/02/1995	96-PP1051	19/11/2003	283798	01/02/2015		EFM+ channel coding
TR	EP	N 014746TR	N 014746	Philips	95-0136	15/02/1995		22/10/2002	29626	15/02/2015		EFM+ channel coding
TW	TW	N 014746TW	N 014746	Philips	84101360	15/02/1995		15/04/1997	82864	14/02/2015		EFM+ channel coding
UA	UA	N 014746UA	N 014746	Philips	96083269	01/02/1995		15/11/2001	42757	01/02/2015		EFM+ channel coding
US	US	N 014746USA	N 014746	Philips	08/900275	08/02/1995		06/07/1999	5920272	08/02/2015		EFM+ channel coding
US	US	N 014746USK	N 014746	Philips	90/006637	09/05/2003		13/10/2009	5696505	08/02/2015		EFM+ channel coding
VN	VN	N 014746VN	N 014746	Philips	S19960099	13/08/1996		25/10/2000	1407	13/08/2016		EFM+ channel coding
ZA	ZA	N 014746ZA	N 014746	Philips	95-1115	10/02/1995		30/10/1996	95-1115	10/02/2015		EFM+ channel coding
AR	AR	N 014752AR	N 014752	Philips	331070	17/02/1995		21/11/2001	255358	21/11/2016		Block format error interleaving
AT	EP	N 014752AT	N 014752	Philips	95907127.5	14/02/1995	0698270-A1	26/07/2000	E195033	14/02/2015		Block format error interleaving
AU	AU	N 014752AU	N 014752	Philips	95-15449	14/02/1995	95-15449	09/07/1998	689203	14/02/2015		Block format error interleaving
BE	EP	N 014752BE	N 014752	Philips	95907127.5	14/02/1995	0698270-A1	26/07/2000	0698270	14/02/2015		Block format error interleaving
BW	BW	N 014752BW	N 014752	Philips	98-00046	21/04/1998		01/12/1999	BW/P99/00023	21/04/2018		Block format error interleaving
CA	CA	N 014752CA	N 014752	Philips	2160572	14/02/1995		16/12/2003	2160572	14/02/2015		Block format error interleaving
CH	EP	N 014752CH	N 014752	Philips	95907127.5	14/02/1995	0698270-A1	26/07/2000	0698270	14/02/2015		Block format error interleaving
CN	CN	N 014752CN	N 014752	Philips	95190261.X	14/02/1995	1125994-A	09/06/2004	95190261.X	14/02/2015		Block format error interleaving
CN	CN	N 014752CN3	N 014752	Philips	200610095942	14/02/1995	101093701A			14/02/2015		Block format error interleaving
CN	CN	N 014752CN4	N 014752	Philips	200610093455	14/02/1995	101083105-A			14/02/2015		Block format error interleaving
CN	CN	N 014752CNA	N 014752	Philips	02122058.1	14/02/1995	1389867-A	09/04/2008	02122058.1	14/02/2015		Block format error interleaving
DE	EP	N 014752DE	N 014752	Philips	95907127.5	14/02/1995	0698270-A1	26/07/2000	69518126.2	14/02/2015		Block format error interleaving
DK	EP	N 014752DK	N 014752	Philips	95907127.5	14/02/1995	0698270-A1	26/07/2000	0698270	14/02/2015		Block format error interleaving
ES	EP	N 014752ES	N 014752	Philips	95907127.5	14/02/1995	0698270-A1	26/07/2000	2150551	14/02/2015		Block format error interleaving
FR	EP	N 014752FR	N 014752	Philips	95907127.5	14/02/1995	0698270-A1	26/07/2000	0698270	14/02/2015		Block format error interleaving
GB	EP	N 014752GB	N 014752	Philips	95907127.5	14/02/1995	0698270-A1	26/07/2000	0698270	14/02/2015		Block format error interleaving
